agent,title,patentNum,uuid,companies,pubnumber,applicationTime,cat,patentStatus,applicantname,inventor,id,lawStatus,address,agency,abstracts,grantDate,applicantName,pubDate,applicationPublishTime,appnumber,patentType,imgUrl,mainCatNum,createTime,postCode,patentName,grantNumber,applicationPublishNum,allCatNum,priorityInfo
MERCK SHARP & DOHME CORP.,,PCT/US2020/051904,dbac4b75f7d96034971e05d5b36b6b71,,,2020-09-22,有机化学〔2〕;,,"[""MERCKSHARP&DOHMECORP."", ""EPSTEIN,LEIA,C."", ""KLEIN,LEE,J.""]","KLEIN, LEE, J.;EPSTEIN, LEIA, C.",64682036,"[{""date"": """", ""detail"": """", ""status"": """"}]","126 East Lincoln Avenue,Rahway, NJ 07065-0907 US",,,2021-04-01,"MERCKSHARP&DOHMECORP.;EPSTEIN,LEIA,C.;KLEIN,LEE,J.",2021-04-01,,PCT/US2020/051904,其他,,C07H21/02,1774600034000,,,WO2021061594A1,,C07H21/02;A61K9/133;G01N33/52;B82Y5/00,"[{""priorityNumber"": """", ""priorityDate"": ""2019-09-27""}]"
,制备V-T细胞衍生的外泌体以治疗EPSTEIN-BARR病毒相关癌症的方法,CN202080072732.5,cef45736c24caa77ea86598bb3063b36,"[{""cgid"": 7078816021, ""cname"": ""香港大学""}]",CN114555785A,2020-08-31,生物化学；啤酒；烈性酒；果汁酒；醋；微生物学；酶学；突变或遗传工程;,专利权的授权,"[""香港大学""]",涂文伟;刘胤萍;王系伟;向征,87999505,"[{""date"": ""2024-12-06"", ""detail"": ""授权"", ""status"": ""授权""}, {""date"": ""2022-05-27"", ""detail"": ""公布"", ""status"": ""公布""}]",中国香港薄扶林道,北京市柳沈律师事务所,提供了用于杀伤或抑制EBV感染的细胞的衍生自Vδ2‑T细胞的外泌体（Vδ2‑T‑Exos）。还提供了用于杀伤或抑制EBV感染的细胞生长的方法，其包括使EBV感染的细胞与有效杀伤或抑制细胞生长的量的来自Vδ2+T细胞的外泌体接触。优选地，EBV感染的细胞是已成为肿瘤性的EBV感染的细胞，例如EBV感染的肿瘤性B细胞或EBV感染的肿瘤性上皮细胞。还提供了通过向受试者施用治疗有效量的Vδ2‑T‑Exos来治疗受试者中EBV诱导的癌症的方法。Vδ2‑T‑Exos可以衍生自获自受试者或同种异体健康个体的Vδ2‑T细胞。还提供了用于从Vδ2‑T细胞分离Vδ2‑T‑Exos的方法。,2024-12-06,香港大学,2024-12-06,2022-05-27,CN202080072732.5,发明专利,,C12N5/0783,1774985828000,,制备V-T细胞衍生的外泌体以治疗EPSTEIN-BARR病毒相关癌症的方法,CN114555785B,CN114555785A,C12N5/0783;C12N5/00;A61K35/17;A61P35/00,"[{""priorityNumber"": """", ""priorityDate"": ""2019-10-17""}]"
"EPSTEIN, MATTHEW D.",,US16/176831,06d566fc3542fbab29da7373cf5fb9a1,,,2018-10-31,飞行器；航空；宇宙航行;,授权,"[""IIXXMMXXILLC"", ""SAMIR,AIDAN""]","PANTHERA, AIDAN",64363846,"[{""date"": """", ""detail"": """", ""status"": """"}]","4 LOVELAND HILL RD., UNIT J3, 06066, VERNON, CONNECTICUT",DINSMORE,,2021-03-23,"IIXXMMXXILLC;SAMIR,AIDAN",2021-03-23,,US16/176831,其他,,B64C3/56,1774593712000,,,US10953977B2,,B64C3/56;B64C13/34;B64C1/00,"[{""priorityNumber"": """", ""priorityDate"": ""2017-11-10""}]"
SABANCI ÜNIVERSITESI,Method for production of three-dimensional closed graphene-based nano-/microstructures,US201514887386,ba5764ee31c54364b1d03eecc83178de,,,2015-10-20,一般的物理或化学的方法或装置;,授权,"[""SABANCI ÜNIVERSITESI""]",Menceloglu Yusuf Ziya;Okan Burcu Saner;Yildiz Mehmet,43698027,"[{""date"": """", ""detail"": """", ""status"": """"}]","Tuzla,IstanbulTR",Epstein Drangel LLP,"The present invention proposes a production method for obtainment of three-dimensional closed graphene-based nano-/microstructures (10) using a coaxial multilayer core-shell production process (1000) comprising a coaxial flow system (100) having a first flow path (101) and a first fluid exit (1011) at an end of said first flow path; and a second flow path (102) circumferentially surrounding said first flow path (101), said second flow path having a second fluid exit (1021); wherein a first fluid (1) flows through the first flow path and exits through the first fluid exit (1011); and a second fluid (2) which is immiscible with the first fluid (1) under the conditions where said production method is conducted, flows through the second flow path (102) and exits through the second fluid exit (1021) such that the second fluid (2) circumferentially covers the first fluid (1) upon leaving the coaxial flow system (100); said second fluid (2) comprises a graphene-based material, a polymeric material and solvent.",2017-12-26,SABANCI ÜNIVERSITESI,2017-12-26,,US201514887386,其他,"[""http://static.tianyancha.com/patent/abstractPic/US/B/985/057/US9850572(B2)_1.png""]",B01J13/14,1774322111000,,Method for production of three-dimensional closed graphene-based nano-/microstructures,US9850572(B2),,B01J13/14;C01B31/04;C23C16/30;C23C16/44,"[{""priorityNumber"": """", ""priorityDate"": """"}]"
"EPSTEIN, ELIZABETH A.;STIMSON, MICHAEL",,US16/365306,5ad36690baa1adb1f5139a9a31d2a122,,,2019-03-26,生物化学；啤酒；烈性酒；果汁酒；醋；微生物学；酶学；突变或遗传工程;,授权,"[""ABSGLOBAL,INC.""]","FUNK, DEVAN CHARLES;DATTILO, KATRINA",65031505,"[{""date"": """", ""detail"": """", ""status"": """"}]","1525 RIVER ROAD, 53532, DEFOREST, WISCONSIN",,,2021-04-20,"ABSGLOBAL,INC.",2021-04-20,,US16/365306,其他,,C12N5/0735,1774602721000,,,US10982187B2,,C12N5/0735;A01K67/027;C12N5/076;C12N5/075;C12N15/877,"[{""priorityNumber"": """", ""priorityDate"": """"}]"
"EPSTEIN, ELIZABETH A.;STIMSON, MICHAEL",,US16/443418,b7a854756c3f6cd1885a08cc68ef855e,,,2019-06-17,生物化学；啤酒；烈性酒；果汁酒；醋；微生物学；酶学；突变或遗传工程;,授权,"[""ABSGLOBAL,INC.""]","HORST, AARON;DATTILO, KATRINA;FUNK, DEVAN",64804905,"[{""date"": """", ""detail"": """", ""status"": """"}]","1525 RIVER ROAD, 53532, DEFOREST, WISCONSIN",,,2021-04-13,"ABSGLOBAL,INC.",2021-04-13,,US16/443418,其他,,C12N5/071,1774600004000,,,US10975351B2,,C12N5/071;A01N1/02;C12N5/076;A61D19/02;C12N5/075;A01K67/027,"[{""priorityNumber"": """", ""priorityDate"": """"}]"
,HIGH EFFICIENCY PERMANENT MAGNET MACHINE,US201715684490,f238c29a533e4cf8a5ed2953578b7cdd,,,2017-08-23,发电、变电或配电;,授权,"[""Wu Xinzhang"",""Liu Hanzhou"",""Hu Yang"",""Chow Louis"",""Harms Jon"",""Epstein Martin"",""Wu Wei""]",Wu Xinzhang;Liu Hanzhou;Hu Yang;Chow Louis;Harms Jon;Epstein Martin;Wu Wei,43604356,"[{""date"": """", ""detail"": """", ""status"": """"}]",OviedoFLUS,,"The present invention is a high efficiency permanent magnet machine capable of maintaining high power density. The machine is operable over a wide range of power output. The improved efficiency is due in part to copper wires with a current density lower than traditional designs and larger permanent magnets coupled with a large air gap. In a certain embodiment, wide stator teeth are used to provide additional improved efficiency through significantly reducing magnetic saturation resulting in lower current. The machine also has a much smaller torque angle than that in traditional design at rated load and thus has a higher overload handling capability and improved efficiency. In addition, when the machine is used as a motor, an adaptive phase lag compensation scheme helps the sensorless field oriented control (FOC) scheme to perform more accurately.",2017-12-07,Wu Xinzhang;Liu Hanzhou;Hu Yang;Chow Louis;Harms Jon;Epstein Martin;Wu Wei,2017-12-07,,US201715684490,其他,"[""http://static.tianyancha.com/patent/abstractPic/US/A/201/735/US2017353062(A1)_1.png""]",H02K1/16,1774320639000,,HIGH EFFICIENCY PERMANENT MAGNET MACHINE,US2017353062(A1),,H02K1/16;H02K21/14;H02K1/27;H02P6/15;H02K3/28;H02K3/12;H02P6/182;H02K21/16,"[{""priorityNumber"": """", ""priorityDate"": """"}]"
"EPSTEIN, ELIZABETH A.",,US16/121077,11c8aef62dfe186e48bd84ed7d63330e,,,2018-09-04,生物化学；啤酒；烈性酒；果汁酒；醋；微生物学；酶学；突变或遗传工程;,授权,"[""GENUSPLC""]","ROTI-ROTI, ELON;CRAY, NICOLE;WAGNER, MATTHIAS;BOTTS, MICHAEL REID",64532549,"[{""date"": """", ""detail"": """", ""status"": """"}]","BELVEDERE HOUSE, BASING VIEW, RG21 4HG, BASINGSTOKE, HAMPSHIRE, UNITED KINGDOM",,,2021-03-30,GENUSPLC,2021-03-30,,US16/121077,其他,,C12Q1/68,1774596075000,,,US10961577B2,,C12Q1/68;C12Q1/6879;C12Q1/6841,"[{""priorityNumber"": """", ""priorityDate"": ""2017-09-01""}]"
SABANCI ÜNIVERSITESI,Artificial hollow biological tissue network and method for preparation thereof,US201514725094,eaeabfb028584cd3a25d00b59e41ca80,,,2015-05-29,医学或兽医学；卫生学;,授权,"[""SABANCI ÜNIVERSITESI""]",Koç Bahattin;Küçükgül Can;Özler Saime Burçe,43439880,"[{""date"": """", ""detail"": """", ""status"": """"}]","Tuzla,IstanbulTR",Epstein Drangel LLP,"A network (100) for replacement of a living tissue, said network is a scaffold-free artificial hollow biological tissue network comprising a plurality of longitudinal multicellular aggregates (11) arranged in a plurality of bioprinted layers (22) which are located on top of one another, further comprising an inner surface (20) and an outer surface (21), wherein at least one of said bioprinted layers (22) is in shape of a planar closed loop such that a conduit for conveying fluids is defined, and said longitudinal multicellular aggregate (11) is a mixture of at least two cell types. Also a method for obtaining said longitudinal multicellular aggregate, and a further method for biomodeling and planning said network are proposed.",2017-12-26,SABANCI ÜNIVERSITESI,2017-12-26,,US201514725094,其他,"[""http://static.tianyancha.com/patent/abstractPic/US/B/985/170/US9851706(B2)_1.png""]",A61F2/06,1774318553000,,Artificial hollow biological tissue network and method for preparation thereof,US9851706(B2),,A61F2/06;G05B17/00;C12N5/071;G06F19/00;A61L27/50;C12M3/00;C12M1/26;A61L27/38,"[{""priorityNumber"": """", ""priorityDate"": """"}]"
,一种含内参照的高灵敏Epstein-Barr病毒荧光定量PCR试剂盒,CN201310742857.6,e43d0dbe6322659302329d442a868f9d,"[{""cgid"": 1258587485, ""cname"": ""上海星耀医学科技发展有限公司""}, {""cgid"": 3976673, ""cname"": ""上海复星医药（集团）股份有限公司""}]",CN103642945A,2013-12-30,生物化学；啤酒；烈性酒；果汁酒；醋；微生物学；酶学；突变或遗传工程;,专利权的授权,"[""上海星耀医学科技发展有限公司"",""上海复星医药（集团）股份有限公司""]",吴大治;夏懿;吴梅,51183667,"[{""date"": ""2019-01-08"", ""detail"": ""授权"", ""status"": ""授权""}, {""date"": ""2015-12-16"", ""detail"": ""实质审查的生效IPC(主分类):C12Q   1/70申请日:20131230"", ""status"": ""实质审查的生效""}, {""date"": ""2014-03-19"", ""detail"": ""公布"", ""status"": ""公布""}]",上海市浦东新区康士路17号393室,,本发明涉及一种利用荧光PCR技术定量检测Epstein‑Barr病毒（EBV）核酸的试剂盒。它采用一对引物扩增EBV特异性核酸序列，并通过荧光探针定量检测EBV DNA；同时用人内源性基因特异性引物和荧光探针检测内参照DNA。本发明通过单管双波长荧光PCR技术同时检测EBV和内参照核酸的存在，能定量检测全血、血浆、鼻咽分泌物样品中EBV DNA，通过内参照核酸的检测结果判断样品是否存在PCR抑制剂或检测误操作引起的模板丢失。试剂盒操作简便快速、定量结果灵敏准确，可广泛应用于临床EBV病毒感染的定量检测。,2019-01-08,上海星耀医学科技发展有限公司;上海复星医药（集团）股份有限公司,2019-01-08,2014-03-19,CN201310742857.6,发明专利,,C12Q1/70,1774414548000,201315,一种含内参照的高灵敏Epstein-Barr病毒荧光定量PCR试剂盒,CN103642945B,CN103642945A,C12Q1/70;C12Q1/6851,"[{""priorityNumber"": """", ""priorityDate"": """"}]"
