id,title,authors,abstract,categories,published,url,resource_uri,no,total_results
2601.09641v2,FairShare: Auditable Geographic Fairness for Multi-Operator LEO Spectrum Sharing,"['Seyed Bagher Hashemi Natanzi', 'Hossein Mohammadi', 'Vuk Marojevic', 'Bo Tang']","Dynamic spectrum sharing (DSS) among multi-operator low Earth orbit (LEO) mega-constellations is essential for coexistence, yet prevailing policies focus almost exclusively on interference mitigation, leaving geographic equity largely unaddressed. This work investigates whether conventional DSS approaches inadvertently exacerbate the rural digital divide. Incorporating Keplerian orbital dynamics, inter-beam co-channel interference, and three real-world constellation geometries (Starlink, OneWeb, Kuiper), we conduct large-scale, 3GPP-compliant non-terrestrial network (NTN) simulations across 20 orbital snapshots spanning 10~minutes of satellite motion. The results uncover a stark and persistent structural bias: SNR-priority scheduling induces a $1.84\times$ mean urban--rural access disparity, with temporal fluctuations reaching $3.9\times$ during favorable interference conditions. Counter-intuitively, increasing system bandwidth amplifies rather than alleviates this gap. To remedy this, we propose FairShare, a lightweight, quota-based framework that enforces geographic fairness. FairShare not only reverses the bias, achieving an affirmative disparity ratio of $Δ_{\text{geo}} = 0.68\times$ with zero variance across all orbital snapshots and interference conditions, but also reduces scheduler runtime by 3.3\%. This demonstrates that algorithmic fairness can be achieved without trading off efficiency or complexity, and that it remains invariant to physical-layer dynamics. Our work provides regulators with both a diagnostic metric for auditing fairness and a practical, enforceable mechanism for equitable spectrum governance in next-generation satellite networks.","['cs.NI', 'eess.SP']",2026-01-14T17:25:32+00:00,https://arxiv.org/pdf/2601.09641v2,arxiv://2601.09641v2,11,20
2601.03958v1,Experimental Evaluation of a UAV-Mounted LEO Satellite Backhaul for Emergency Connectivity,"['Mattia Figaro', 'Francesco Rossato', 'Alexander Bonora', 'Marco Giordani', 'Giovanni Schembra', 'Michele Zorzi']","Reliable connectivity is critical for Public Protection and Disaster Relief operations, especially in rural or compromised environments where terrestrial infrastructure is unavailable. In such scenarios, NTNs, and specifically UAVs, are promising candidates to provide on-demand and rapid connectivity on the ground, serving as aerial base stations. In this paper, we implement a setup in which a rotary-wing UAV, equipped with a Starlink Mini terminal, provides Internet connectivity to an emergency ground user in the absence of cellular coverage via LEO satellites. The UAV functions as a Wi-Fi access point, while backhauling the ground traffic through the Starlink constellation. We evaluate the system via both network simulations in ns-3 and real-world flight experiments in a rural environment, in terms of throughput, latency, coverage, and energy consumption under static and dynamic flight conditions. Our results demonstrate that the system can maintain a stable uplink throughput of approximately 30 Mbps up to approximately 200 meters, and with minimal impact on the UAV battery lifetime. These findings demonstrate the feasibility of deploying commercial LEO satellite terminals on UAVs as a practical solution for emergency connectivity.","['cs.NI', 'cs.ET']",2026-01-07T14:16:07+00:00,https://arxiv.org/pdf/2601.03958v1,arxiv://2601.03958v1,12,20
2512.20835v1,QoS- and Physics-Aware Routing in Optical LEO Satellite Networks via Deep Reinforcement Learning,"['Mohammad Taghi Dabiri', 'Rula Ammuri', 'Mazen Hasna', 'Khalid Qaraqe']","Optical inter-satellite links (ISLs) are becoming the principal communication backbone in modern large-scale LEO constellations, offering multi-Gb/s capacity and near speed-of-light latency. However, the extreme sensitivity of optical beams to relative satellite motion, pointing jitter, and rapidly evolving geometry makes routing fundamentally more challenging than in RF-based systems. In particular, intra-plane and inter-plane ISLs exhibit markedly different stability and feasible range profiles, producing a dynamic, partially constrained connectivity structure that must be respected by any physically consistent routing strategy. This paper presents a lightweight geometry- and QoS-aware routing framework for optical LEO networks that incorporates class-dependent feasibility constraints derived from a jitter-aware Gaussian-beam model. These analytically computed thresholds are embedded directly into the time-varying ISL graph and enforced via feasible-action masking in a deep reinforcement learning (DRL) agent. The proposed method leverages local geometric progress, feasible-neighbor structure, and congestion indicators to select next-hop relays without requiring global recomputation. Simulation results on a Starlink-like constellation show that the learned paths are physically consistent, exploit intra-plane stability, adapt to jitter-limited inter-plane connectivity, and maintain robust end-to-end latency under dynamic topology evolution.",['eess.SP'],2025-12-23T23:22:38+00:00,https://arxiv.org/pdf/2512.20835v1,arxiv://2512.20835v1,13,20
2512.20103v1,Developing an NTN Architecture for End-to-End Performance Evaluation,"['Md Mahfuzur Rahman', 'Nishith Tripathi', 'Jeffrey H. Reed', 'Lingjia Liu']","Non-Terrestrial Networks (NTN) are emerging as critical enablers of global connectivity, particularly in remote, unserved, underserved, or maritime regions lacking traditional infrastructure. While much of the existing work on NTN focuses on theoretical or simulated evaluations, practical implementations remain limited. In this paper, we present SpaceNET, a transparent NTN testbed that leverages the Starlink Low Earth Orbit (LEO) satellite constellation in conjunction with Mininet-based emulation to perform end-to-end performance assessments across real-world maritime and terrestrial endpoints that can also be applied to 5th generation (5G). Specifically, we establish a bidirectional link between a ground terminal located in Blacksburg, Virginia, and a maritime terminal aboard a cruise ship near Key West, Florida. We report detailed transmission control protocol (TCP) throughput, user datagram protocol (UDP) throughput, and latency measurements using two different user terminals - a) Smartphone, and b) very small aperture terminal (VSAT), emphasizing the transparent nature of the NTN payload, where the satellite acts solely as a relay node. Our results provide new insights into the performance limits and reliability of commercial LEO-based NTN applications. The SpaceNET testbed offers a reproducible and extensible platform for future research in NTN routing, mobility support, and cross-layer optimization.",['cs.ET'],2025-12-23T06:57:47+00:00,https://arxiv.org/pdf/2512.20103v1,arxiv://2512.20103v1,14,20
2512.17016v2,SatTrack: Software for Evaluating Satellite Interference and Rim-Based Interference Mitigation Using a Reconfigurable Parabolic Antenna,"['J. M. Santana', 'L. Heller', 'R. M. Buehrer']","Large Low Earth Orbit (LEO) constellations (e.g., Starlink and Iridium) significantly increase the likelihood of transient, high-power interference events at ground receivers. This report presents SatTrack, a GUI-driven simulation framework that (i) tracks satellite motion relative to a fixed antenna boresight, (ii) predicts reflector gain patterns of a parabolic reflector antenna with a reconfigurable rim of specified size using a physical optics (PO) surface-current model decomposed into fixed and reconfigurable rim regions, and (iii) synthesizes deep, directional nulls using fast rim-weight optimization algorithms. Beyond baseline serial greedy and greedy bit-flip methods, additional files support advanced weight optimization algorithms including simulated annealing and majorization-minimization operating over higher-order complex weight alphabets, enabling deeper null formation. Interference power from satellites is estimated using free-space path loss and an FCC-derived Starlink EIRP versus steering-angle model, and event-level throughput for each satellite is computed using Shannon capacity. Results show simple binary rim control achieves about 40-55 dB of average interference suppression, while advanced optimization methods can exceed 65-70 dB under favorable geometries, with best-case received interference below -220 dBm. We compare no mitigation, satellite muting, and rim-based spatial nulling, showing rim-based nulling approaches muting-level suppression while preserving throughput close to the no-mitigation case. These results highlight both the scalability of rim-based reflector reconfiguration and the fundamental limitation when satellites cross the main lobe.",['astro-ph.IM'],2025-12-18T19:21:16+00:00,https://arxiv.org/pdf/2512.17016v2,arxiv://2512.17016v2,15,20
2511.15861v2,Inter-Satellite Link Configuration for Fast Delivery in Low-Earth-Orbit Constellations,"['Arman Mollakhani', 'Jerayu Tiamraj', 'Shu-Jie Cao', 'Dongning Guo']","End-to-end latency in large low-Earth-orbit (LEO) constellations is dominated by propagation delay, making total delay roughly proportional to the network diameter, the longest shortest path in hops. Current inter-satellite link (ISL) layouts have rarely been optimized to minimize network diameter while simultaneously satisfying physical and operational constraints, including maximum link distance, line-of-sight, per-satellite hardware limits, and long-term link viability over orbital periods. In this study, the selection and assignment of inter-plane ISLs is formulated as a diameter-minimization problem on a Starlink-inspired Walker-Delta constellation in which each satellite is equipped with two fixed intra-plane links and may activate up to two inter-plane links. Beginning with a feasible baseline, the topology is iteratively refined by a local-search procedure that replaces or reinforces links to shrink the diameter. The resulting ISL configuration meets all geometric and hardware limits, preserves link stability across multiple orbital periods, and yields a sparse, diameter-aware graph with potential for centralized routing capabilities. Simulations demonstrate that the proposed algorithm achieves low worst-case latency without compromising ISL stability, and the trade-off between hop count and long-term link stability is empirically measured for guidance of future LEO network deployments.",['cs.NI'],2025-11-19T20:36:20+00:00,https://arxiv.org/pdf/2511.15861v2,arxiv://2511.15861v2,16,20
2511.08255v1,Analysis of SINR Coverage in LEO Satellite Networks through Spatial Network Calculus,"['Yuting Tang', 'Yufan He', 'Yi Zhong', 'Xijun Wang', 'Tony Q. S. Quek', 'Howard H. Yang']","We introduce a new analytical framework, developed based on the spatial network calculus, for performance assessment of Low Earth Orbit (LEO) satellite networks. Specifically, we model the satellites' spatial positions as a strong ball-regulated point process on the sphere. Under this model, proximal points in space exhibit a locally repulsive property, reflecting the fact that intersatellite links are protected by a safety distance and would not be arbitrarily close. Subsequently, we derive analytical lower bounds on the conditional coverage probabilities under Nakagami-$m$ and Rayleigh fading, respectively. These expressions have a low computational complexity, enabling efficient numerical evaluations. We validate the effectiveness of our theoretical model by contrasting the coverage probability obtained from our analysis with that estimated from a Starlink constellation. The results show that our analysis provides a tight lower bound on the actual value and, surprisingly, matches the empirical simulations almost perfectly with a 1 dB shift. This demonstrates our framework as an appropriate theoretical model for LEO satellite networks.",['cs.IT'],2025-11-11T13:49:53+00:00,https://arxiv.org/pdf/2511.08255v1,arxiv://2511.08255v1,17,20
2510.11242v1,Analyzing Data Quality and Decay in Mega-Constellations: A Physics-Informed Machine Learning Approach,"['Katarina Dyreby', 'Francisco Caldas', 'Cláudia Soares']","In the era of mega-constellations, the need for accurate and publicly available information has become fundamental for satellite operators to guarantee the safety of spacecrafts and the Low Earth Orbit (LEO) space environment. This study critically evaluates the accuracy and reliability of publicly available ephemeris data for a LEO mega-constellation - Starlink. The goal of this work is twofold: (i) compare and analyze the quality of the data against high-precision numerical propagation. (ii) Leverage Physics-Informed Machine Learning to extract relevant satellite quantities, such as non-conservative forces, during the decay process. By analyzing two months of real orbital data for approximately 1500 Starlink satellites, we identify discrepancies between high precision numerical algorithms and the published ephemerides, recognizing the use of simplified dynamics at fixed thresholds, planned maneuvers, and limitations in uncertainty propagations. Furthermore, we compare data obtained from multiple sources to track and analyze deorbiting satellites over the same period. Empirically, we extract the acceleration profile of satellites during deorbiting and provide insights relating to the effects of non-conservative forces during reentry. For non-deorbiting satellites, the position Root Mean Square Error (RMSE) was approximately 300 m, while for deorbiting satellites it increased to about 600 m. Through this in-depth analysis, we highlight potential limitations in publicly available data for accurate and robust Space Situational Awareness (SSA), and importantly, we propose a data-driven model of satellite decay in mega-constellations.","['astro-ph.EP', 'astro-ph.IM', 'cs.LG']",2025-10-13T10:28:23+00:00,https://arxiv.org/pdf/2510.11242v1,arxiv://2510.11242v1,18,20
2509.00766v1,Characterization of Mega-Constellation Links for LEO Missions With Applications to EO and ISS Use Cases,"['G. Maiolini Capez', 'M. A. Caceres', 'C. P. Bridges', 'S. Frey', 'R. Armellin', 'R. Garello', 'P. Bargellini']","Satellite missions demand ever greater connectivity, especially in the LEO regime. In this paper, we introduce the new mega-constellation services in space paradigm: we show that megaconstellations, deployed to offer innovative services to Earth's users, can provide excellent connectivity to LEO spacecraft as well. First, we characterise the communication link between space users and the actual OneWeb and Starlink constellations. A full set of results in terms of availability, access duration, Doppler, and path losses as a function of user orbital parameters, identifying optimal user orbits, is provided. The results achieved by a multi-system user able to communicate with both fleets are also presented. The potential improvements available if geostationary constellations are used to complement LEO megaconstellations in a multi-orbit system are discussed as well. Finally, we focus on two LEO use cases: the International Space Station and an Earth Observation Sun Synchronous satellite. All the results demonstrate the numerous advantages of the mega-constellation connectivity solution, which can transform LEO spacecraft into highly responsive nodes of a space-to-space network.","['eess.SP', 'cs.NI']",2025-08-31T09:30:52+00:00,https://arxiv.org/pdf/2509.00766v1,arxiv://2509.00766v1,19,20
2508.21047v1,DSROQ: Dynamic Scheduling and Routing for QoE Management in LEO Satellite Networks,"['Dhiraj Bhattacharjee', 'Pablo G. Madoery', 'Abhishek Naik', 'Halim Yanikomeroglu', 'Gunes Karabulut Kurt', 'Stephane Martel', 'Khaled Ahmed']","The modern Internet supports diverse applications with heterogeneous quality of service (QoS) requirements. Low Earth orbit (LEO) satellite constellations offer a promising solution to meet these needs, enhancing coverage in rural areas and complementing terrestrial networks in urban regions. Ensuring QoS in such networks requires joint optimization of routing, bandwidth allocation, and dynamic queue scheduling, as traffic handling is critical for maintaining service performance. This paper formulates a joint routing and bandwidth allocation problem where QoS requirements are treated as soft constraints, aiming to maximize user experience. An adaptive scheduling approach is introduced to prioritize flow-specific QoS needs. We propose a Monte Carlo tree search (MCTS)-inspired method to solve the NP-hard route and bandwidth allocation problem, with Lyapunov optimization-based scheduling applied during reward evaluation. Using the Starlink Phase 1 Version 2 constellation, we compare end-user experience and fairness between our proposed DSROQ algorithm and a benchmark scheme. Results show that DSROQ improves both performance metrics and demonstrates the advantage of joint routing and bandwidth decisions. Furthermore, we observe that the dominant performance factor shifts from scheduling to routing and bandwidth allocation as traffic sensitivity changes from latency-driven to bandwidth-driven.",['cs.NI'],2025-08-28T17:51:35+00:00,https://arxiv.org/pdf/2508.21047v1,arxiv://2508.21047v1,20,20
