id,title,authors,abstract,categories,published,url,resource_uri,no,total_results
2206.06027v1,Adversarial Models Towards Data Availability and Integrity of Distributed State Estimation for Industrial IoT-Based Smart Grid,"['Haftu Tasew Reda', 'Abdun Mahmood', 'Adnan Anwar', 'Naveen Chilamkurti']","Security issue of distributed state estimation (DSE) is an important prospect for the rapidly growing smart grid ecosystem. Any coordinated cyberattack targeting the distributed system of state estimators can cause unrestrained estimation errors and can lead to a myriad of security risks, including failure of power system operation. This article explores the security threats of a smart grid arising from the exploitation of DSE vulnerabilities. To this aim, novel adversarial strategies based on two-stage data availability and integrity attacks are proposed towards a distributed industrial Internet of Things-based smart grid. The former's attack goal is to prevent boundary data exchange among distributed control centers, while the latter's attack goal is to inject a falsified data to cause local and global system unobservability. The proposed framework is evaluated on IEEE standard 14-bus system and benchmarked against the state-of-the-art research. Experimental results show that the proposed two-stage cyberattack results in an estimated error of approximately 34.74% compared to an error of the order of 10^-3 under normal operating conditions.",['cs.CR'],2022-06-13T10:27:11+00:00,https://arxiv.org/pdf/2206.06027v1,arxiv://2206.06027v1,11,20
2204.03027v1,Federated Learning for Distributed Spectrum Sensing in NextG Communication Networks,"['Yi Shi', 'Yalin E. Sagduyu', 'Tugba Erpek']","NextG networks are intended to provide the flexibility of sharing the spectrum with incumbent users and support various spectrum monitoring tasks such as anomaly detection, fault diagnostics, user equipment identification, and authentication. A network of wireless sensors is needed to monitor the spectrum for signal transmissions of interest over a large deployment area. Each sensor receives signals under a specific channel condition depending on its location and trains an individual model of a deep neural network (DNN) accordingly to classify signals. To improve the accuracy, individual sensors may exchange sensing data or sensor results with each other or with a fusion center (such as in cooperative spectrum sensing). In this paper, distributed federated learning over a multi-hop wireless network is considered to collectively train a DNN for signal identification. In distributed federated learning, each sensor broadcasts its trained model to its neighbors, collects the DNN models from its neighbors, and aggregates them to initialize its own model for the next round of training. Without exchanging any spectrum data, this process is repeated over time such that a common DNN is built across the network while preserving the privacy associated with signals collected at different locations. Signal classification accuracy and convergence time are evaluated for different network topologies (including line, star, ring, grid, and random networks) and packet loss events. Then, the reduction of communication overhead and energy consumption is considered with random participation of sensors in model updates. The results show the feasibility of extending cooperative spectrum sensing over a general multi-hop wireless network through federated learning and indicate its robustness to wireless network effects, thereby sustaining high accuracy with low communication overhead and energy consumption.","['cs.NI', 'cs.LG']",2022-04-06T18:18:42+00:00,https://arxiv.org/pdf/2204.03027v1,arxiv://2204.03027v1,12,20
2105.02510v4,Towards Inference Delivery Networks: Distributing Machine Learning with Optimality Guarantees,"['T. Si Salem', 'G. Castellano', 'G. Neglia', 'F. Pianese', 'A. Araldo']","An increasing number of applications rely on complex inference tasks that are based on machine learning (ML). Currently, there are two options to run such tasks: either they are served directly by the end device (e.g., smartphones, IoT equipment, smart vehicles), or offloaded to a remote cloud. Both options may be unsatisfactory for many applications: local models may have inadequate accuracy, while the cloud may fail to meet delay constraints. In this paper, we present the novel idea of inference delivery networks (IDNs), networks of computing nodes that coordinate to satisfy ML inference requests achieving the best trade-off between latency and accuracy. IDNs bridge the dichotomy between device and cloud execution by integrating inference delivery at the various tiers of the infrastructure continuum (access, edge, regional data center, cloud). We propose a distributed dynamic policy for ML model allocation in an IDN by which each node dynamically updates its local set of inference models based on requests observed during the recent past plus limited information exchange with its neighboring nodes. Our policy offers strong performance guarantees in an adversarial setting and shows improvements over greedy heuristics with similar complexity in realistic scenarios.",['cs.NI'],2021-05-06T08:18:17+00:00,https://arxiv.org/pdf/2105.02510v4,arxiv://2105.02510v4,13,20
2103.12131v1,The IoT Exchange,"['Oleg Berzin', 'Rafael Ansay', 'James Kempf', 'Imam Sheikh', 'Doron Hendel']","The IoT ecosystem suffers from a variety of problems around security, identity, access control, data flow and data storage that introduce friction into interactions between various parties. In many respects, the situation is similar to the early days of the Internet, where, prior to the establishment of Internet Exchanges, routing between different BGP autonomous systems was often point to point. We propose a similar solution, the IoT Exchange, where IoT device owners can register their devices and offer data for sale or can upload data into the IoT services of any of the big hyperscale cloud platforms for further processing. The goal of the IoT Exchange is to break down the silos within which device wireless connectivity types and cloud provider IoT systems constrain users to operate. In addition, if the device owner needs to maintain the data close to the edge to reduce access latency, the MillenniumDB service running in an edge data center with minimal latency to the edge device, provides a database with a variety of schema engines (SQL, noSQL, etc). The IoT exchange uses decentralized identifiers for identity management and verifiable credentials for authorizing software updates and to control access to the devices, to avoid dependence on certificate authorities and other centralized identity and authorization management systems. In addition, verifiable credentials provide a way whereby privacy preserving processing can be applied to traffic between a device and an end data or control customer, if some risk of privacy compromise exists.",['cs.DC'],2021-03-22T18:51:47+00:00,https://arxiv.org/pdf/2103.12131v1,arxiv://2103.12131v1,14,20
2007.15286v1,Design Guidelines for Blockchain-Assisted 5G-UAV Networks,"['Moayad Aloqaily', 'Ouns Bouachir', 'Azzedine Boukerche', 'Ismaeel Al Ridhawi']","Fifth Generation (5G) wireless networks are designed to meet various end-user Quality of Service (QoS) requirements through high data rates (typically of Gbps order) and low latencies. Coupled with Fog and Mobile Edge Computing (MEC), 5G can achieve high data rates, enabling complex autonomous smart city services such as the large deployment of self-driving vehicles and large-scale Artificial Intelligence (AI)-enabled industrial manufacturing. However, to meet the exponentially growing number of connected IoT devices and irregular data and service requests in both low and highly dense locations, the process of enacting traditional cells supported through fixed and costly base stations requires rethought to enable on-demand mobile access points in the form of Unmanned Aerial Vehicles (UAV) for diversified smart city scenarios. This article envisions a 5G network environment that is supported by blockchain-enabled UAVs to meet dynamic user demands with network access supply. The solution enables decentralized service delivery (Drones as a Service) and routing to and from end-users in a reliable and secure manner. Both public and private blockchains are deployed within the UAVs, supported by fog and cloud computing devices and data centers to provide wide range of complex authenticated service and data availability. Particular attention is paid tocomparing data delivery success rates and message exchange in the proposed solution against traditional UAV-supported cellular networks. Challenges and future research are also discussed with highlights on emerging technologies such as Federated Learning.",['cs.NI'],2020-07-30T08:00:32+00:00,https://arxiv.org/pdf/2007.15286v1,arxiv://2007.15286v1,15,20
2005.00121v1,Leveraging Context-awareness to Better Support the IoT Cloud-Edge Continuum,"['Liliana I. Carvalho', 'Daniel. M. Silva', 'R. C. Sofia']","Novel Internet of Things (IoT) requirements derived from a broader interconnection of heterogeneous devices have pushed the horizons of Cloud computing and are giving rise to a wider decentralisation of applications and data centers. An answer to the underlying network concerns, such as the need to lower the resulting latency due to heavy computation needs,or safety aspects, gave rise to Edge/Fog computing, where IoT functionality can be also supported closer to data sources. While it is today feasible to perform some IoT functionality on the Edge, the orchestration of operations between Edge and Cloud requires an automated support, where context-awareness plays a key role in assisting the network in deciding when and whereto store data and to perform computation. This work is focused on the application of context-awareness to support a smoother operation of the Edge to Cloud operation, aiming at lowering latency, in particular when real-time or close-to-real-time data exchange is present.",['cs.NI'],2020-04-30T21:57:22+00:00,https://arxiv.org/pdf/2005.00121v1,arxiv://2005.00121v1,16,20
2004.04838v1,Quantum transduction of optical photons from a superconducting qubit,"['Mohammad Mirhosseini', 'Alp Sipahigil', 'Mahmoud Kalaee', 'Oskar Painter']","Bidirectional conversion of electrical and optical signals lies at the foundation of the global internet. Such converters are employed at repeater stations to extend the reach of long-haul fiber optic communication systems and within data centers to exchange high-speed optical signals between computers. Likewise, coherent microwave-to-optical conversion of single photons would enable the exchange of quantum states between remotely connected superconducting quantum processors, a promising quantum computing hardware platform. Despite the prospects of quantum networking, maintaining the fragile quantum state in such a conversion process with superconducting qubits has remained elusive. Here we demonstrate the conversion of a microwave-frequency excitation of a superconducting transmon qubit into an optical photon. We achieve this using an intermediary nanomechanical resonator which converts the electrical excitation of the qubit into a single phonon by means of a piezoelectric interaction, and subsequently converts the phonon to an optical photon via radiation pressure. We demonstrate optical photon generation from the qubit with a signal-to-noise greater than unity by recording quantum Rabi oscillations of the qubit through single-photon detection of the emitted light over an optical fiber. With proposed improvements in the device and external measurement set-up, such quantum transducers may lead to practical devices capable of realizing new hybrid quantum networks, and ultimately, distributed quantum computers.",['quant-ph'],2020-04-09T22:34:40+00:00,https://arxiv.org/pdf/2004.04838v1,arxiv://2004.04838v1,17,20
1908.08229v1,Vehicular Communication and Mobility Sustainability: the Mutual Impacts in Large-scale Smart Cities,"['Ahmed Elbery', 'Hesham Rakha', 'Mustafa ElNainay']","Intelligent Transportation Systems (ITSs) is the backbone of transportation services in smart cities. ITSs produce better-informed decisions using real-time data gathered from connected vehicles. In ITSs, Vehicular Ad hoc Network (VANET) is a communication infrastructure responsible for exchanging data between vehicles and Traffic Management Centers (TMC). VANET performance (packet delay and drop rate) can affect the performance of ITS applications. Furthermore, the distribution of communicating vehicles affects the VANET performance. So, capturing this mutual impact between communication and transportation is crucial to understanding the behavior of ITS applications. Thus, this paper focuses on studying the mutual impact of VANET communication and mobility in city-level ITSs. We first introduce a new scalable and computationally fast framework for modeling large-scale ITSs including communication and mobility. In the proposed framework, we develop and validate a new mathematical model for the IEEE 802.11p MAC protocol which can capture the behavior of medium access and queuing process. This MAC model is then integrated within a microscopic traffic simulator to accurately simulate vehicle mobility. This integrated framework can accurately capture the mobility, communication, and the spatiotemporal impacts in large-scale ITSs. Secondly, the proposed framework is used to study the impact of communication on eco-routing navigation performance in a real large-scale network with real calibrated vehicular traffic. The paper demonstrates that communication performance can significantly degrade the performance of the dynamic eco-routing navigation when the traffic density is high. It also shows that the fuel consumption can be increased due to lack of communication reliability.",['cs.NI'],2019-08-22T07:14:29+00:00,https://arxiv.org/pdf/1908.08229v1,arxiv://1908.08229v1,18,20
1907.02322v1,Wireless Caching Helper System with Heterogeneous Traffic and Random Availability,"['Ioannis Avgouleas', 'Nikolaos Pappas', 'Vangelis Angelakis']","Multimedia content streaming from Internet-based sources emerges as one of the most high demanded services by wireless users. In order to alleviate excessive traffic due to multimedia content transmission, many architectures (e.g., small cells, femtocells, etc.) have been proposed to offload such traffic to the nearest (or strongest) access point also called ""helper"". The deployment of more helpers is not necessarily beneficial due to their potential of increasing interference. In this work, we evaluate a wireless system in which we distinguish between cachable and non-cachable traffic. More specifically, we consider a general system in which a wireless user with limited cache storage requests cachable content from a data center that can be directly accessed through a base station. The user can be assisted by a pair of wireless helpers that exchange non-cachable content as well. Packets arrive at the queue of the source helper in bursts. Each helper has its own cache to assist the user's requests for cachable content. Files not available from the helpers are transmitted by the base station. We analyze the system throughput and the delay experienced by the user and show how they are affected by the packet arrival rate at the source helper, the availability of caching helpers, the caches' parameters, and the user's request rate by means of numerical results.",['cs.NI'],2019-07-04T10:47:31+00:00,https://arxiv.org/pdf/1907.02322v1,arxiv://1907.02322v1,19,20
1902.11292v2,Enabling efficient application monitoring in cloud data centers using SDN,"['Mona Elsaadawy', 'Bettina Kemme', 'Mohamed Younis']","Software Defined Networking (SDN) not only enables agility through the realization of part of the network functionality in software but also facilitates offering advanced features at the network layer. Hence, SDN can support a wide range of middleware services; network performance monitoring is an example of these services that are already deployed in practice. In this paper, we exploit the use of SDNs to efficiently provide application monitoring functionality. The recent rise of complex cloud applications has made performance monitoring a major issue. We show that many performance indicators can be inferred from messages exchanged among application components. By analyzing these messages, we argue that the overhead of performance monitoring could be effectively moved from the end hosts into the SDN middleware of the cloud infrastructure which enables more flexible placement of logging functionality. This paper explores several approaches for supporting application monitoring through SDN. In particular, we combine selective forwarding in SDN to enable message filtering and reformatting, and propose a customized port sniffing technique. We describe the implementation of the approach within the standard SDN software, namely OVS. We further provide a comprehensive performance evaluation to analyze advantages and disadvantages of our approach, and highlight the trade-offs.",['cs.NI'],2019-02-28T18:49:28+00:00,https://arxiv.org/pdf/1902.11292v2,arxiv://1902.11292v2,20,20
